DATE_RECEIVED,PRODUCT_NAME,SUB_PRODUCT,ISSUE,SUB_ISSUE,CONSUMER_COMPLAINT_NARRATIVE,COMPANY_PUBLIC_RESPONSE,COMPANY,STATE_NAME,ZIP_CODE,TAGS,CONSUMER_CONSENT_PROVIDED,SUBMITTED_VIA,DATE_SENT_TO_COMPANY,COMPANY_RESPONSE_TO_CONSUMER,TIMELY_RESPONSE,CONSUMER_DISPUTED,COMPLAINT_ID
2013-07-29,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,Wells Fargo & Company,VA,24540,,N/A,Phone,30-07-2013,Closed with explanation,Yes,No,468882
2013-07-29,Bank account or service,Checking account,Using a debit or ATM card,,,,Wells Fargo & Company,CA,95992,Older American,N/A,Web,31-07-2013,Closed with explanation,Yes,No,468889
2013-07-29,Bank account or service,Checking account,Account opening or closing or or management,,,,Santander Bank US,NY,10065,,N/A,Fax,31-07-2013,Closed,Yes,No,468879
2013-07-29,Bank account or service,Checking account,Deposits and withdrawals,,,,Wells Fargo & Company,GA,30084,,N/A,Web,30-07-2013,Closed with explanation,Yes,No,468949
2013-07-29,Mortgage,Conventional fixed mortgage,Loan servicing or payments or escrow account,,,,Franklin Credit Management,CT,6106,,N/A,Web,30-07-2013,Closed with explanation,Yes,No,475823
2013-07-29,Bank account or service,Checking account,Deposits and withdrawals,,,,Bank of America,TX,75025,,N/A,Web,30-07-2013,Closed with explanation,Yes,No,468981
2013-07-29,Debt collection,Other (i.e. phone or health club or etc.),Cont'd attempts collect debt not owed,Debt is not mine,,,NRA Group or LLC,VA,20147,,N/A,Web,07-08-2013,Closed with non-monetary relief,Yes,No,467801
2013-07-29,Mortgage,Other mortgage,Loan servicing or payments or escrow account,,,,Wells Fargo & Company,NV,89511,,N/A,Referral,30-07-2013,Closed with explanation,Yes,Yes,469035
2013-07-29,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Bank of America,NC,27949,,N/A,Referral,30-07-2013,Closed with non-monetary relief,Yes,No,469037
2013-07-29,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,,,Wells Fargo & Company,PA,19145,Older American,N/A,Phone,01-08-2013,Closed with non-monetary relief,Yes,No,468905
2013-07-29,Mortgage,Conventional fixed mortgage,Loan modification orcollection orforeclosure,,,,JPMorgan Chase & Co.,NY,14092,,N/A,Phone,31-07-2013,Closed with explanation,Yes,No,469057
2013-07-29,Mortgage,Conventional fixed mortgage,Loan modification orcollection orforeclosure,,,,Ocwen,FL,33426,,N/A,Web,31-07-2013,Closed with explanation,Yes,Yes,469060
2013-07-29,Mortgage,Conventional fixed mortgage,Loan servicing or payments or escrow account,,,,Citibank,NJ,7604,,N/A,Web,30-07-2013,Closed with explanation,Yes,No,472236
2013-07-29,Credit reporting,,Credit monitoring or identity protection,Problem cancelling or closing account,,,Experian,CA,90034,,N/A,Web,29-07-2013,Closed with monetary relief,Yes,No,474204
2013-07-29,Mortgage,Conventional adjustable mortgage (ARM),Loan modification orcollection orforeclosure,,,,Bank of America,HI,96793,,N/A,Web,31-07-2013,Closed with explanation,Yes,No,469138
2013-07-29,Mortgage,Other mortgage,Application or originator or mortgage broker,,,,JPMorgan Chase & Co.,FL,32825,,N/A,Postal mail,30-07-2013,Closed with explanation,Yes,No,469143
2013-07-29,Mortgage,Other mortgage,Loan servicing or payments or escrow account,,,,U.S. Bancorp,CA,92591,,N/A,Referral,31-07-2013,Closed with monetary relief,Yes,No,469632
2013-07-29,Mortgage,Conventional adjustable mortgage (ARM),Application or originator or mortgage broker,,,,Bank of America,IL,60443,,N/A,Web,01-08-2013,Closed with explanation,Yes,No,469173
2013-07-29,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,Wells Fargo & Company,CA,96088,,N/A,Web,01-08-2013,Closed with explanation,Yes,No,469185
